,version,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
0,V1,RTY50,rating,0.0,33.0,Kline1.jpg,1.375,50.0,7.117762084964409,0.062173232055732414
1,V1,RTY50,rating,1.0,19.0,Picc1n.jpg,0.449,50.0,1.189139192175032,0.062173232055732414
2,V1,RTY50,rating,2.0,57.0,Lassa1.jpg,0.354,50.0,0.5809111416188864,0.062173232055732414
3,V1,RTY50,rating,3.0,37.0,Deka1n.jpg,0.275,50.0,0.07512149957746032,0.062173232055732414
4,V1,RTY50,rating,4.0,30.0,Kraa1n.jpg,0.187,50.0,-0.48828974725349567,0.062173232055732414
5,V1,RTY50,rating,5.0,45.0,Lasc1n.jpg,0.21,50.0,-0.3410345350135868,0.062173232055732414
6,V1,RTY50,rating,6.0,18.0,Krab1n.jpg,0.196,50.0,-0.43066814246396606,0.062173232055732414
7,V1,RTY50,rating,7.0,39.0,Kupb1n.jpg,0.188,50.0,-0.4818873467213257,0.062173232055732414
8,V1,RTY50,rating,8.0,56.0,Clib1n.jpg,0.204,50.0,-0.3794489382066066,0.062173232055732414
9,V1,RTY50,rating,9.0,10.0,Vinb1n.jpg,0.196,50.0,-0.43066814246396606,0.062173232055732414
10,V1,RTY50,rating,10.0,58.0,Klinc1.jpg,0.18,43.0,-0.5331065509786854,-0.44984162016794543
11,V1,RTY50,rating,11.0,43.0,Clifb1.jpg,0.164,45.0,-0.6355449594934045,-0.30355166238975173
12,V1,RTY50,rating,12.0,6.0,Gusc1n.jpg,0.315,50.0,0.3312175208642583,0.062173232055732414
13,V1,RTY50,rating,13.0,4.0,Krasb1.jpg,0.378,66.0,0.7345687543909654,1.2324928942812818
14,V1,RTY50,rating,14.0,53.0,Macc1n.jpg,0.181,50.0,-0.5267041504465154,0.062173232055732414
15,V1,RTY50,rating,15.0,16.0,Vincc1.jpg,0.188,50.0,-0.4818873467213257,0.062173232055732414
16,V1,RTY50,rating,16.0,61.0,Grigb1.jpg,0.18,50.0,-0.5331065509786854,0.062173232055732414
17,V1,RTY50,rating,17.0,40.0,Vinc1n.jpg,0.173,50.0,-0.5779233547038751,0.062173232055732414
18,V1,RTY50,rating,18.0,44.0,Mackb1.jpg,0.18,50.0,-0.5331065509786854,0.062173232055732414
19,V1,RTY50,rating,19.0,29.0,Klinb1.jpg,0.179,66.0,-0.5395089515108553,1.2324928942812818
20,V1,RTY50,rating,20.0,64.0,Vincb1.jpg,0.174,65.0,-0.5715209541717051,1.1593479153921848
21,V1,RTY50,rating,21.0,51.0,Lewic1.jpg,0.191,50.0,-0.46268014512481587,0.062173232055732414
22,V1,RTY50,rating,22.0,63.0,Lewia1.jpg,0.182,50.0,-0.5203017499143455,0.062173232055732414
23,V1,RTY50,rating,23.0,52.0,Dekoa1.jpg,0.184,50.0,-0.5074969488500055,0.062173232055732414
24,V1,RTY50,rating,24.0,28.0,Pice1n.jpg,0.196,78.0,-0.43066814246396606,2.1102326409504437
25,V1,RTY50,rating,25.0,36.0,Gustb1.jpg,0.293,50.0,0.19036470915651924,0.062173232055732414
26,V1,RTY50,rating,26.0,47.0,Vina1n.jpg,0.242,50.0,-0.1361577179841483,0.062173232055732414
27,V1,RTY50,rating,27.0,7.0,Macb1n.jpg,0.309,33.0,0.29280311767123857,-1.1812914090589137
28,V1,RTY50,rating,28.0,20.0,Picb1n.jpg,0.267,50.0,0.02390229532010066,0.062173232055732414
29,V1,RTY50,rating,29.0,59.0,Macka1.jpg,0.26,50.0,-0.020914508405089054,0.062173232055732414
30,V1,RTY50,rating,30.0,14.0,Grib1n.jpg,0.26,50.0,-0.020914508405089054,0.062173232055732414
31,V1,RTY50,rating,31.0,5.0,Pica1n.jpg,0.252,50.0,-0.07213371266244872,0.062173232055732414
32,V1,RTY50,rating,32.0,41.0,Picae1.jpg,0.244,66.0,-0.12335291691980839,1.2324928942812818
33,V1,RTY50,rating,33.0,2.0,Dekb1n.jpg,0.228,50.0,-0.22579132543452754,0.062173232055732414
34,V1,RTY50,rating,34.0,60.0,Kupc1n.jpg,0.235,22.0,-0.180974521709338,-1.9858861768389788
35,V1,RTY50,rating,35.0,23.0,Rohlb1.jpg,0.252,50.0,-0.07213371266244872,0.062173232055732414
36,V1,RTY50,rating,36.0,15.0,Lassc1.jpg,0.244,1.0,-0.12335291691980839,-3.5219307335100125
37,V1,RTY50,rating,37.0,27.0,Gustc1.jpg,0.231,50.0,-0.20658412383801766,0.062173232055732414
38,V1,RTY50,rating,38.0,48.0,Maca1n.jpg,0.252,50.0,-0.07213371266244872,0.062173232055732414
39,V1,RTY50,rating,39.0,25.0,Dekob1.jpg,0.255,50.0,-0.05292651106593885,0.062173232055732414
40,V1,RTY50,rating,40.0,65.0,Roha1n.jpg,0.237,50.0,-0.1681697206449981,0.062173232055732414
41,V1,RTY50,rating,41.0,50.0,Klic1n.jpg,0.265,50.0,0.01109749425576074,0.062173232055732414
42,V1,RTY50,rating,42.0,0.0,Monb1n.jpg,0.261,50.0,-0.014512107872919094,0.062173232055732414
43,V1,RTY50,rating,43.0,22.0,Klina1.jpg,0.259,50.0,-0.02731690893725901,0.062173232055732414
44,V1,RTY50,rating,44.0,8.0,Picd1n.jpg,0.252,44.0,-0.07213371266244872,-0.3766966412788486
45,V1,RTY50,rating,45.0,67.0,Picab1.jpg,0.25,50.0,-0.08493851372678864,0.062173232055732414
46,V1,RTY50,rating,46.0,68.0,Mondb1.jpg,0.26,50.0,-0.020914508405089054,0.062173232055732414
47,V1,RTY50,rating,47.0,35.0,Gusa1n.jpg,0.252,55.0,-0.07213371266244872,0.42789812650121656
48,V1,RTY50,rating,48.0,54.0,Rohla1.jpg,0.252,50.0,-0.07213371266244872,0.062173232055732414
49,V1,RTY50,rating,49.0,17.0,Picaa1.jpg,0.234,50.0,-0.1873769222415078,0.062173232055732414
50,V1,RTY50,rating,50.0,11.0,Clifa1.jpg,0.246,66.0,-0.11054811585546848,1.2324928942812818
51,V1,RTY50,rating,51.0,69.0,Picad1.jpg,0.394,88.0,0.8370071629056847,2.8416824298414123
52,V1,RTY50,rating,52.0,46.0,Lewb1n.jpg,0.266,50.0,0.0174998947879307,0.062173232055732414
53,V1,RTY50,rating,53.0,1.0,Monda1.jpg,0.292,50.0,0.18396230862434926,0.062173232055732414
54,V1,RTY50,rating,54.0,9.0,Klind1.jpg,0.259,9.0,-0.02731690893725901,-2.936770902397238
55,V1,RTY50,rating,55.0,3.0,Klib1n.jpg,0.267,50.0,0.02390229532010066,0.062173232055732414
56,V1,RTY50,rating,56.0,38.0,Krasa1.jpg,0.282,50.0,0.11993830330264968,0.062173232055732414
57,V1,RTY50,rating,57.0,66.0,Vinca1.jpg,0.261,50.0,-0.014512107872919094,0.062173232055732414
58,V1,RTY50,rating,58.0,26.0,Klid1n.jpg,0.26,2.0,-0.020914508405089054,-3.4487857546209155
59,V1,RTY50,rating,59.0,34.0,Lasb1n.jpg,0.244,50.0,-0.12335291691980839,0.062173232055732414
