,version,group,PID,phase,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,explain_response,novel_left,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,V1,d09142021,fX2Ey,interference,1.0,0.0,14.0,7.0,Grib1n.jpg,Macb1n.jpg,65.0,61.0,1.0,,1.0,0.0,7.0,14.0,1.383,0.6285981436405765,4.0,0.5386070918720477,0.34989803778549083,0.18870905408655686
1,V1,d09142021,fX2Ey,interference,1.0,1.0,59.0,34.0,Macka1.jpg,Lasb1n.jpg,56.0,43.0,1.0,,1.0,0.0,34.0,59.0,1.044,-0.23316457765683796,13.0,0.11401172017729468,-0.49929270560401523,0.61330442578131
2,V1,d09142021,fX2Ey,interference,1.0,2.0,62.0,10.0,Mona1n.jpg,Vinb1n.jpg,46.0,45.0,1.0,,0.0,0.0,10.0,62.0,2.234,2.791902202118747,1.0,-0.35776091503909757,-0.4049381785607368,0.0471772635216392
3,V1,d09142021,fX2Ey,interference,1.0,3.0,47.0,57.0,Vina1n.jpg,Lassa1.jpg,64.0,63.0,0.0,,0.0,1.0,47.0,57.0,1.549,1.0505822490546497,1.0,0.4914298283504085,0.44425256482876924,0.04717726352163926
4,V1,d09142021,fX2Ey,interference,1.0,4.0,29.0,3.0,Klinb1.jpg,Klib1n.jpg,46.0,54.0,0.0,,0.0,0.0,3.0,29.0,1.673,1.3657992916531143,-8.0,-0.35776091503909757,0.019657193134016232,-0.37741810817311383
5,V1,d09142021,fX2Ey,interference,1.0,5.0,16.0,53.0,Vincc1.jpg,Macc1n.jpg,41.0,64.0,0.0,,1.0,0.0,53.0,16.0,1.292,0.3972695075400907,-23.0,-0.5936472326472937,0.4914298283504085,-1.085077060997702
6,V1,d09142021,fX2Ey,interference,2.0,6.0,62.0,10.0,Mona1n.jpg,Vinb1n.jpg,46.0,45.0,0.0,,0.0,0.0,10.0,62.0,0.913,-0.5661761307245704,1.0,-0.35776091503909757,-0.4049381785607368,0.0471772635216392
7,V1,d09142021,fX2Ey,interference,2.0,7.0,29.0,3.0,Klinb1.jpg,Klib1n.jpg,46.0,54.0,1.0,,0.0,0.0,3.0,29.0,0.857,-0.7085322144787157,-8.0,-0.35776091503909757,0.019657193134016232,-0.37741810817311383
8,V1,d09142021,fX2Ey,interference,2.0,8.0,47.0,57.0,Vina1n.jpg,Lassa1.jpg,64.0,63.0,1.0,,0.0,1.0,47.0,57.0,1.161,0.06425795447235821,1.0,0.4914298283504085,0.44425256482876924,0.04717726352163926
9,V1,d09142021,fX2Ey,interference,2.0,9.0,14.0,7.0,Grib1n.jpg,Macb1n.jpg,65.0,61.0,0.0,,1.0,0.0,7.0,14.0,0.993,-0.3628102967900774,4.0,0.5386070918720477,0.34989803778549083,0.18870905408655686
10,V1,d09142021,fX2Ey,interference,2.0,10.0,16.0,53.0,Vincc1.jpg,Macc1n.jpg,41.0,64.0,1.0,,1.0,0.0,53.0,16.0,1.356,0.5599621746876854,-23.0,-0.5936472326472937,0.4914298283504085,-1.085077060997702
11,V1,d09142021,fX2Ey,interference,2.0,11.0,59.0,34.0,Macka1.jpg,Lasb1n.jpg,56.0,43.0,0.0,,1.0,0.0,34.0,59.0,1.021,-0.29163225491300504,13.0,0.11401172017729468,-0.49929270560401523,0.61330442578131
12,V1,d09142021,fX2Ey,interference,3.0,12.0,16.0,53.0,Vincc1.jpg,Macc1n.jpg,41.0,64.0,0.0,,1.0,0.0,53.0,16.0,0.951,-0.4695773596056864,-23.0,-0.5936472326472937,0.4914298283504085,-1.085077060997702
