,version,group,PID,phase,condition,trial,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
58,V1,d09172021,S5lJ6,memory_test,0.0,10.0,0.0,51.0,23.0,1.0,1353.0,,1.0,552.0,0,-0.8765765423270521,-0.22912416876137184
59,V1,d09172021,S5lJ6,memory_test,0.0,11.0,0.0,64.0,7.0,1.0,1944.0,,0.0,241.0,0,-0.5587340739910711,-0.5120697723582257
60,V1,d09172021,S5lJ6,memory_test,0.0,12.0,0.0,38.0,55.0,1.0,1989.0,,1.0,306.0,0,-0.5345328708182806,-0.4529332314135456
61,V1,d09172021,S5lJ6,memory_test,0.0,13.0,0.0,32.0,30.0,1.0,1648.0,,0.0,235.0,0,-0.717924210416537,-0.5175285299838884
62,V1,d09172021,S5lJ6,memory_test,1.0,14.0,0.0,19.0,6.0,1.0,2952.0,,0.0,513.0,0,-0.0166271229205652,-0.26460609332817986
63,V1,d09172021,S5lJ6,memory_test,1.0,15.0,0.0,43.0,18.0,1.0,5315.0,,0.0,409.0,0,1.254204945908408,-0.359224558839668
64,V1,d09172021,S5lJ6,memory_test,0.0,16.0,1.0,30.0,55.0,1.0,743.0,30.0,1.0,222.0,1,-1.2046372964471002,-0.5293558381728245
65,V1,d09172021,S5lJ6,memory_test,0.0,17.0,0.0,50.0,15.0,0.0,2402.0,,,,1,-0.31241960614355946,
66,V1,d09172021,S5lJ6,memory_test,1.0,18.0,0.0,53.0,4.0,1.0,2052.0,,1.0,262.0,0,-0.500651186376374,-0.49296412066840606
67,V1,d09172021,S5lJ6,memory_test,0.0,19.0,1.0,64.0,29.0,0.0,2801.0,64.0,,,0,-0.09783560467815088,
68,V1,d09172021,S5lJ6,memory_test,1.0,20.0,1.0,6.0,33.0,1.0,1298.0,6.0,1.0,166.0,1,-0.9061557906493516,-0.5803042426790104
69,V1,d09172021,S5lJ6,memory_test,1.0,21.0,1.0,18.0,53.0,1.0,5056.0,53.0,0.0,307.0,1,1.1149135765361256,-0.4520234384759352
70,V1,d09172021,S5lJ6,memory_test,0.0,22.0,1.0,15.0,23.0,0.0,3219.0,23.0,,,0,0.12696668257132473,
71,V1,d09172021,S5lJ6,memory_test,1.0,23.0,1.0,66.0,37.0,0.0,2070.0,66.0,,,0,-0.4909707051072578,
72,V1,d09172021,IDAjV,memory_test,1.0,0.0,1.0,67.0,8.0,0.0,3027.0,8.0,,,0,0.9337131870995184,
73,V1,d09172021,IDAjV,memory_test,1.0,1.0,1.0,48.0,52.0,0.0,1572.0,48.0,,,0,-0.4364286162166634,
74,V1,d09172021,IDAjV,memory_test,1.0,2.0,1.0,65.0,29.0,1.0,1480.0,65.0,1.0,3277.0,1,-0.523063012027721,2.8220431110141933
75,V1,d09172021,IDAjV,memory_test,0.0,3.0,0.0,33.0,60.0,1.0,2941.0,,1.0,1870.0,0,0.8527288605804862,1.237843051364664
76,V1,d09172021,IDAjV,memory_test,1.0,4.0,0.0,65.0,52.0,1.0,1526.0,,1.0,281.0,0,-0.4797458141221922,-0.5512784090355505
77,V1,d09172021,IDAjV,memory_test,1.0,5.0,0.0,44.0,7.0,0.0,1467.0,,,,1,-0.5353048288271095,
78,V1,d09172021,IDAjV,memory_test,1.0,6.0,0.0,62.0,67.0,1.0,2363.0,,1.0,327.0,0,0.3084388521153639,-0.499485087966696
79,V1,d09172021,IDAjV,memory_test,0.0,7.0,0.0,25.0,56.0,1.0,1881.0,,1.0,412.0,0,-0.1454500476773506,-0.4037800381655517
80,V1,d09172021,IDAjV,memory_test,0.0,8.0,1.0,69.0,11.0,1.0,6259.0,11.0,1.0,1122.0,1,3.9772171790705833,0.3956386131145945
81,V1,d09172021,IDAjV,memory_test,0.0,9.0,1.0,33.0,34.0,1.0,1610.0,34.0,0.0,819.0,1,-0.4006448440338353,0.0544782591175744
82,V1,d09172021,IDAjV,memory_test,1.0,10.0,0.0,46.0,48.0,0.0,1659.0,,,,1,-0.3545026114822938,
83,V1,d09172021,IDAjV,memory_test,1.0,11.0,0.0,29.0,16.0,0.0,867.0,,,,1,-1.1003117580296586,
84,V1,d09172021,IDAjV,memory_test,0.0,12.0,1.0,60.0,56.0,0.0,2038.0,60.0,,,0,0.002393432130649759,
85,V1,d09172021,IDAjV,memory_test,1.0,13.0,0.0,8.0,5.0,0.0,1345.0,,,,1,-0.6501895710982946,
86,V1,d09172021,IDAjV,memory_test,0.0,14.0,1.0,55.0,54.0,1.0,1097.0,54.0,0.0,439.0,1,-0.8837257685020148,-0.3733796105816588
87,V1,d09172021,IDAjV,memory_test,0.0,15.0,1.0,25.0,35.0,1.0,1801.0,25.0,1.0,211.0,1,-0.2207843049043572,-0.6300943324011987
