,version,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
102,V1,d09142021,CDRCj,rating,42.0,55.0,Clia1n.jpg,2.847,57.0,-0.7348862311610982,0.04811041931505662
103,V1,d09142021,CDRCj,rating,43.0,63.0,Lewia1.jpg,3.159,68.0,-0.5187092575394301,0.5686493823959976
104,V1,d09142021,CDRCj,rating,44.0,0.0,Monb1n.jpg,2.75,38.0,-0.8020950979601426,-0.8510023350974778
105,V1,d09142021,CDRCj,rating,45.0,69.0,Picad1.jpg,2.983,40.0,-0.6406552426593453,-0.7563588872645794
106,V1,d09142021,CDRCj,rating,46.0,19.0,Picc1n.jpg,2.799,76.0,-0.7681442271028934,0.9472231737275909
107,V1,d09142021,CDRCj,rating,47.0,52.0,Dekoa1.jpg,2.638,66.0,-0.8796970884909979,0.4740059345630993
108,V1,d09142021,CDRCj,rating,48.0,17.0,Picaa1.jpg,2.983,39.0,-0.6406552426593453,-0.8036806111810286
109,V1,d09142021,CDRCj,rating,49.0,10.0,Vinb1n.jpg,2.847,70.0,-0.7348862311610982,0.663292830228896
110,V1,d09142021,CDRCj,rating,50.0,6.0,Gusc1n.jpg,4.175,11.0,0.18525165656190007,-2.128688880841606
111,V1,d09142021,CDRCj,rating,51.0,50.0,Klic1n.jpg,3.335,28.0,-0.3967632724195145,-1.3242195742619696
112,V1,d09142021,CDRCj,rating,52.0,21.0,Kupkc1.jpg,2.494,67.0,-0.9794710763163832,0.5213276584795484
113,V1,d09142021,CDRCj,rating,53.0,13.0,Kupka1.jpg,2.086,38.0,-1.2621640418216418,-0.8510023350974778
114,V1,d09142021,CDRCj,rating,54.0,64.0,Vincb1.jpg,2.526,28.0,-0.9572990790218532,-1.3242195742619696
115,V1,d09142021,CDRCj,rating,55.0,14.0,Grib1n.jpg,4.247,74.0,0.2351386504745928,0.8525797258946927
116,V1,d09142021,CDRCj,rating,56.0,42.0,Mackc1.jpg,2.471,68.0,-0.9954071993718266,0.5686493823959976
117,V1,d09142021,CDRCj,rating,57.0,24.0,Lewa1n.jpg,3.534,81.0,-0.25888116424415564,1.183831793309837
118,V1,d09142021,CDRCj,rating,58.0,31.0,Picac1.jpg,2.826,68.0,-0.7494366043856335,0.5686493823959976
119,V1,d09142021,CDRCj,rating,59.0,44.0,Mackb1.jpg,3.273,42.0,-0.4397215171776664,-0.6617154394316811
120,V1,d09172021,S5lJ6,rating,0.0,23.0,Rohlb1.jpg,3.5239999999999996,33.0,-0.15006932860530606,-0.6007804005176643
121,V1,d09172021,S5lJ6,rating,1.0,55.0,Clia1n.jpg,2.9419999999999997,56.0,-0.2220017526279449,0.5685806047212306
122,V1,d09172021,S5lJ6,rating,2.0,9.0,Klind1.jpg,2.9410000000000003,71.0,-0.2221253478582244,1.331207347268336
123,V1,d09172021,S5lJ6,rating,3.0,62.0,Mona1n.jpg,4.501,61.0,-0.029316788622285074,0.8227895189035991
124,V1,d09172021,S5lJ6,rating,4.0,13.0,Kupka1.jpg,4.343,27.0,-0.04884483500643794,-0.9058310975365064
125,V1,d09172021,S5lJ6,rating,5.0,19.0,Picc1n.jpg,3.5010000000000003,33.0,-0.15291201890173334,-0.6007804005176643
126,V1,d09172021,S5lJ6,rating,6.0,12.0,Klie1n.jpg,3.867,59.0,-0.1076761646194553,0.7211059532306517
127,V1,d09172021,S5lJ6,rating,7.0,8.0,Picd1n.jpg,2.873,74.0,-0.2305298235172268,1.4837326957777572
128,V1,d09172021,S5lJ6,rating,8.0,7.0,Macb1n.jpg,2.76,46.0,-0.2444960845388045,0.0601627763564937
129,V1,d09172021,S5lJ6,rating,9.0,32.0,Kupkb1.jpg,4.059,31.0,-0.08394588040580121,-0.7024639661906117
130,V1,d09172021,S5lJ6,rating,10.0,28.0,Pice1n.jpg,3.779,83.0,-0.11855254488404675,1.9413087413060204
131,V1,d09172021,S5lJ6,rating,11.0,36.0,Gustb1.jpg,35.801,43.0,3.839213919124445,-0.09236257215292737
132,V1,d09172021,S5lJ6,rating,12.0,59.0,Macka1.jpg,1.8,30.0,-0.3631475056070748,-0.7533057490270854
133,V1,d09172021,S5lJ6,rating,13.0,60.0,Kupc1n.jpg,1.919,33.0,-0.3484396732038204,-0.6007804005176643
134,V1,d09172021,S5lJ6,rating,14.0,25.0,Dekob1.jpg,2.011,28.0,-0.3370689120181112,-0.8549893147000328
135,V1,d09172021,S5lJ6,rating,15.0,50.0,Klic1n.jpg,3.147,32.0,-0.19666473042065805,-0.6516221833541379
136,V1,d09172021,S5lJ6,rating,16.0,10.0,Vinb1n.jpg,1.916,26.0,-0.3488104588946588,-0.9566728803729802
137,V1,d09172021,S5lJ6,rating,17.0,45.0,Lasc1n.jpg,2.7560000000000002,8.0,-0.2449904654599223,-1.8718249714295068
138,V1,d09172021,S5lJ6,rating,18.0,44.0,Mackb1.jpg,2.556,31.0,-0.2697095115158119,-0.7024639661906117
139,V1,d09172021,S5lJ6,rating,19.0,40.0,Vinc1n.jpg,2.616,66.0,-0.26229379769904504,1.0769984330859677
140,V1,d09172021,S5lJ6,rating,20.0,30.0,Kraa1n.jpg,2.764,31.0,-0.2440017036176867,-0.7024639661906117
141,V1,d09172021,S5lJ6,rating,21.0,53.0,Macc1n.jpg,3.1860000000000004,38.0,-0.19184451643975955,-0.34657148633529583
142,V1,d09172021,S5lJ6,rating,22.0,17.0,Picaa1.jpg,2.316,28.0,-0.2993723667828795,-0.8549893147000328
143,V1,d09172021,S5lJ6,rating,23.0,57.0,Lassa1.jpg,3.177,58.0,-0.19295687351227456,0.6702641703941781
144,V1,d09172021,S5lJ6,rating,24.0,14.0,Grib1n.jpg,2.5810000000000004,61.0,-0.2666196307588257,0.8227895189035991
145,V1,d09172021,S5lJ6,rating,25.0,31.0,Picac1.jpg,3.042,26.0,-0.2096422296000001,-0.9566728803729802
146,V1,d09172021,S5lJ6,rating,26.0,68.0,Mondb1.jpg,1.9909999999999999,27.0,-0.33954081662370017,-0.9058310975365064
147,V1,d09172021,S5lJ6,rating,27.0,6.0,Gusc1n.jpg,4.332,53.0,-0.050204382539511885,0.4160552562118096
148,V1,d09172021,S5lJ6,rating,28.0,49.0,Lewc1n.jpg,3.377,28.0,-0.16823782745638494,-0.8549893147000328
149,V1,d09172021,S5lJ6,rating,29.0,21.0,Kupkc1.jpg,2.594,31.0,-0.2650128927651929,-0.7024639661906117
150,V1,d09172021,S5lJ6,rating,30.0,64.0,Vincb1.jpg,2.451,40.0,-0.28268701069515395,-0.2448879206623485
151,V1,d09172021,S5lJ6,rating,31.0,26.0,Klid1n.jpg,2.7489999999999997,61.0,-0.2458556320718784,0.8227895189035991
152,V1,d09172021,S5lJ6,rating,32.0,63.0,Lewia1.jpg,2.189,37.0,-0.3150689610283694,-0.3974132691717696
153,V1,d09172021,S5lJ6,rating,33.0,47.0,Vina1n.jpg,2.8710000000000004,63.0,-0.2307770139777857,0.9244730845765464
154,V1,d09172021,S5lJ6,rating,34.0,35.0,Gusa1n.jpg,9.672,56.0,0.6097941471527417,0.5685806047212306
155,V1,d09172021,S5lJ6,rating,35.0,54.0,Rohla1.jpg,2.2880000000000003,85.0,-0.30283303323070404,2.042992306978968
156,V1,d09172021,S5lJ6,rating,36.0,42.0,Mackc1.jpg,2.03,32.0,-0.3347206026428017,-0.6516221833541379
157,V1,d09172021,S5lJ6,rating,37.0,20.0,Picb1n.jpg,1.726,25.0,-0.3722935526477539,-1.0075146632094538
158,V1,d09172021,S5lJ6,rating,38.0,41.0,Picae1.jpg,3.023,89.0,-0.2119905389753096,2.246359438324862
159,V1,d09172021,S5lJ6,rating,39.0,5.0,Pica1n.jpg,2.3,30.0,-0.3013498904673507,-0.7533057490270854
160,V1,d09172021,S5lJ6,rating,40.0,51.0,Lewic1.jpg,0.784,50.0,-0.4887202595709942,0.2635299077023885
161,V1,d09172021,S5lJ6,rating,41.0,33.0,Kline1.jpg,3.1319999999999997,55.0,-0.19851865887484973,0.517738821884757
162,V1,d09172021,S5lJ6,rating,42.0,29.0,Klinb1.jpg,2.535,60.0,-0.27230501135168034,0.7719477360671254
163,V1,d09172021,S5lJ6,rating,43.0,3.0,Klib1n.jpg,1.962,62.0,-0.3431250783018042,0.8736313017400729
164,V1,d09172021,S5lJ6,rating,44.0,46.0,Lewb1n.jpg,2.807,53.0,-0.2386871087156704,0.4160552562118096
165,V1,d09172021,S5lJ6,rating,45.0,4.0,Krasb1.jpg,1.933,32.0,-0.34670933997990816,-0.6516221833541379
166,V1,d09172021,S5lJ6,rating,46.0,15.0,Lassc1.jpg,2.239,35.0,-0.30888919951439703,-0.499096834844717
167,V1,d09172021,S5lJ6,rating,47.0,37.0,Deka1n.jpg,1.776,31.0,-0.3661137911337816,-0.7024639661906117
168,V1,d09172021,S5lJ6,rating,48.0,1.0,Monda1.jpg,2.057,79.0,-0.33138353142525656,1.7379416099601257
169,V1,d09172021,S5lJ6,rating,49.0,38.0,Krasa1.jpg,3.1289999999999996,36.0,-0.19888944456568808,-0.4482550520082432
170,V1,d09172021,S5lJ6,rating,50.0,24.0,Lewa1n.jpg,5.2,15.0,0.057076277343049216,-1.5159324915741907
171,V1,d09172021,S5lJ6,rating,51.0,2.0,Dekb1n.jpg,2.133,17.0,-0.3219902939240185,-1.4142489259012434
172,V1,d09172021,S5lJ6,rating,52.0,43.0,Clifb1.jpg,3.4410000000000003,35.0,-0.16032773271850026,-0.499096834844717
173,V1,d09172021,S5lJ6,rating,53.0,0.0,Monb1n.jpg,2.49,21.0,-0.27786679671425546,-1.2108817945553487
174,V1,d09172021,S5lJ6,rating,54.0,65.0,Roha1n.jpg,34.371,81.0,3.662472739824834,1.8396251756330733
