,event,trial,time,PID,version,phase
0,fullscreenenter,0,319834,cz2n8,V1,full_screen
1,fullscreenexit,1017,2164108,cz2n8,V1,
2,blur,0,0,hua4B,V1,full_screen
3,focus,0,0,hua4B,V1,full_screen
4,blur,0,0,hua4B,V1,full_screen
5,focus,0,0,hua4B,V1,full_screen
6,blur,0,0,hua4B,V1,full_screen
7,focus,0,0,hua4B,V1,full_screen
8,blur,0,0,hua4B,V1,full_screen
9,focus,0,0,hua4B,V1,full_screen
10,fullscreenenter,0,1529,hua4B,V1,full_screen
11,focus,0,0,ZbRrd,V1,full_screen
12,fullscreenexit,0,9178,ZbRrd,V1,full_screen
13,blur,433,903103,ZbRrd,V1,reward_learning
14,focus,433,903823,ZbRrd,V1,reward_learning
15,blur,916,1582198,ZbRrd,V1,memory_test
16,focus,916,1693594,ZbRrd,V1,memory_test
17,fullscreenenter,0,4171,KgZie,V1,full_screen
18,fullscreenenter,0,4860,wws6x,V1,full_screen
19,fullscreenexit,1,5912,wws6x,V1,rating
20,blur,64,136552,wws6x,V1,deliberation
21,focus,64,140336,wws6x,V1,deliberation
22,blur,65,163194,wws6x,V1,deliberation
23,focus,65,167768,wws6x,V1,deliberation
24,blur,71,197312,wws6x,V1,deliberation
25,focus,71,212900,wws6x,V1,deliberation
26,blur,75,218875,wws6x,V1,deliberation
27,focus,75,220946,wws6x,V1,deliberation
28,blur,91,237270,wws6x,V1,deliberation
29,focus,91,239534,wws6x,V1,deliberation
30,blur,95,245535,wws6x,V1,deliberation
31,focus,95,247349,wws6x,V1,deliberation
32,blur,99,252221,wws6x,V1,deliberation
33,focus,99,253758,wws6x,V1,deliberation
34,blur,191,370717,wws6x,V1,interference
35,focus,191,378884,wws6x,V1,interference
36,blur,198,391534,wws6x,V1,interference
37,focus,199,397994,wws6x,V1,interference
38,blur,256,457423,wws6x,V1,reward_learning
39,focus,256,459789,wws6x,V1,reward_learning
40,blur,256,482417,wws6x,V1,reward_learning
41,focus,256,487006,wws6x,V1,reward_learning
42,blur,478,772337,wws6x,V1,final_decisions
43,focus,478,774826,wws6x,V1,final_decisions
44,blur,807,1063987,wws6x,V1,final_decisions
45,focus,807,1085146,wws6x,V1,final_decisions
46,blur,1034,1366869,wws6x,V1,debreif_intro
47,focus,1034,1370981,wws6x,V1,debreif_intro
48,blur,1034,1374061,wws6x,V1,debreif_intro
49,focus,1034,1375452,wws6x,V1,debreif_intro
50,focus,0,0,Ky9p8,V1,full_screen
51,blur,0,0,Ky9p8,V1,full_screen
52,focus,0,0,Ky9p8,V1,full_screen
53,blur,0,16026,Ky9p8,V1,full_screen
54,focus,0,19443,Ky9p8,V1,full_screen
55,fullscreenenter,1,29587,Ky9p8,V1,rating
56,fullscreenenter,0,17652,vvHfd,V1,full_screen
57,blur,276,2384537,vvHfd,V1,reward_learning
58,focus,278,2440461,vvHfd,V1,reward_learning
59,blur,284,2459796,vvHfd,V1,reward_learning
60,focus,284,2462240,vvHfd,V1,reward_learning
61,fullscreenexit,1018,3517879,vvHfd,V1,debreif_intro
62,blur,1018,3524113,vvHfd,V1,debreif_intro
63,focus,1018,3532117,vvHfd,V1,debreif_intro
64,fullscreenenter,0,6264,4llS3,V1,full_screen
65,blur,0,4491,4xy5j,V1,full_screen
66,focus,0,9378,4xy5j,V1,full_screen
67,fullscreenenter,0,12571,4xy5j,V1,full_screen
68,fullscreenenter,0,10935,fy1KM,V1,full_screen
69,fullscreenexit,1,12854,fy1KM,V1,rating
70,blur,67,253652,fy1KM,V1,deliberation
71,focus,67,257002,fy1KM,V1,deliberation
72,blur,67,258064,fy1KM,V1,deliberation
73,focus,67,295791,fy1KM,V1,deliberation
74,blur,80,350291,fy1KM,V1,deliberation
75,focus,80,352324,fy1KM,V1,deliberation
76,blur,97,410798,fy1KM,V1,deliberation
77,focus,98,413961,fy1KM,V1,deliberation
78,blur,193,560797,fy1KM,V1,interference
