,version,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
107,V1,d09142021,CDRCj,reward_learning,2.0,35.0,12.0,1.0,159.0,312.0,-1.3602704000779606,1.0,343.0,-1.1802214786284853,1
108,V1,d09142021,CDRCj,reward_learning,2.0,36.0,55.0,-1.0,0.0,377.0,-0.9677879418557132,-1.0,497.0,-0.3988567929924305,1
109,V1,d09142021,CDRCj,reward_learning,2.0,37.0,31.0,-1.0,0.0,422.0,-0.6960693169326188,-1.0,285.0,-1.4745016849069994,1
110,V1,d09142021,CDRCj,reward_learning,2.0,38.0,42.0,1.0,154.0,454.0,-0.5028471836539739,1.0,261.0,-1.5962728047463848,1
111,V1,d09142021,CDRCj,reward_learning,2.0,39.0,8.0,-1.0,0.0,438.0,-0.5994582502932962,-1.0,329.0,-1.2512546318681268,1
112,V1,d09142021,CDRCj,reward_learning,2.0,40.0,53.0,-1.0,0.0,397.0,-0.8470241085565601,-1.0,373.0,-1.028007578829254,1
113,V1,d09142021,CDRCj,reward_learning,2.0,41.0,55.0,-1.0,0.0,478.0,-0.3579305836949901,-1.0,302.0,-1.388247141687435,1
114,V1,d09142021,CDRCj,reward_learning,2.0,42.0,68.0,1.0,146.0,485.0,-0.31566324204028656,1.0,639.0,0.3216223327239318,1
115,V1,d09142021,CDRCj,reward_learning,2.0,43.0,44.0,1.0,150.0,408.0,-0.7806040002420259,1.0,540.0,-0.18068353661353204,1
116,V1,d09142021,CDRCj,reward_learning,2.0,44.0,8.0,-1.0,0.0,513.0,-0.14659387542147226,-1.0,543.0,-0.1654621466336089,1
117,V1,d09142021,CDRCj,reward_learning,2.0,45.0,44.0,1.0,150.0,423.0,-0.6900311252676611,1.0,622.0,0.2353677895043673,1
118,V1,d09142021,CDRCj,reward_learning,2.0,46.0,39.0,-1.0,0.0,488.0,-0.2975486670454136,-1.0,463.0,-0.5713658794315595,1
119,V1,d09142021,CDRCj,reward_learning,2.0,47.0,63.0,1.0,157.0,505.0,-0.19489940874113346,1.0,348.0,-1.1548524953286134,1
120,V1,d09142021,CDRCj,reward_learning,3.0,48.0,39.0,-1.0,0.0,439.0,-0.5934200586283387,-1.0,1252.0,3.4318596852882277,1
121,V1,d09142021,CDRCj,reward_learning,3.0,49.0,55.0,-1.0,0.0,437.0,-0.6054964419582539,-1.0,494.0,-0.4140781829723536,1
122,V1,d09142021,CDRCj,reward_learning,3.0,50.0,21.0,-1.0,0.0,424.0,-0.6839929336027034,-1.0,484.0,-0.4648161495720974,1
123,V1,d09142021,CDRCj,reward_learning,3.0,51.0,42.0,1.0,154.0,515.0,-0.13451749209155692,1.0,807.0,1.174020171599628,1
124,V1,d09142021,CDRCj,reward_learning,3.0,52.0,53.0,-1.0,0.0,464.0,-0.4424652670043973,-1.0,500.0,-0.3836354030125073,1
125,V1,d09142021,CDRCj,reward_learning,3.0,53.0,55.0,-1.0,0.0,717.0,1.085197224229889,-1.0,860.0,1.4429313945782702,1
126,V1,d09142021,CDRCj,reward_learning,3.0,54.0,8.0,-1.0,0.0,579.0,0.2519267744657329,-1.0,784.0,1.0573228484202173,1
127,V1,d09142021,CDRCj,reward_learning,3.0,55.0,12.0,1.0,159.0,546.0,0.052666449522130336,1.0,662.0,0.4383196559033426,1
128,V1,d09142021,CDRCj,reward_learning,3.0,56.0,42.0,1.0,154.0,489.0,-0.29151047538045594,1.0,597.0,0.10852287300500776,1
129,V1,d09142021,CDRCj,reward_learning,3.0,57.0,39.0,-1.0,0.0,475.0,-0.3760451586898631,-1.0,591.0,0.07808009304516146,1
130,V1,d09142021,CDRCj,reward_learning,3.0,58.0,21.0,-1.0,0.0,471.0,-0.4001979253496937,-1.0,726.0,0.763042642141703,1
131,V1,d09142021,CDRCj,reward_learning,3.0,59.0,63.0,1.0,157.0,425.0,-0.6779547419377457,1.0,691.0,0.5854597590425997,1
132,V1,d09142021,CDRCj,reward_learning,3.0,60.0,68.0,1.0,146.0,637.0,0.6021418910332769,1.0,571.0,-0.023395840154326192,1
133,V1,d09142021,CDRCj,reward_learning,3.0,61.0,8.0,-1.0,0.0,476.0,-0.37000696702490543,-1.0,524.0,-0.26186428317312216,1
