,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
40,Exp1,d11032021,ZGrrY,rating,40.0,5.0,Kupb1n.jpg,2.636,62.0,-0.5038039099911558,0.8968769032201116
41,Exp1,d11032021,ZGrrY,rating,41.0,30.0,Lasse1.jpg,2.239,73.0,-1.2177858909519677,1.4156663476769684
42,Exp1,d11032021,ZGrrY,rating,42.0,53.0,Gorka1.jpg,2.479,54.0,-0.7861595044769175,0.5195754890696702
43,Exp1,d11032021,ZGrrY,rating,43.0,7.0,Pica1n.jpg,2.388,73.0,-0.949817842682041,1.4156663476769684
44,Exp1,d11032021,ZGrrY,rating,44.0,42.0,Picc1n.jpg,2.823,67.0,-0.1674950171960131,1.1326902870641373
45,Exp1,d11032021,ZGrrY,rating,45.0,57.0,Lewc1n.jpg,2.695,59.0,-0.3976957566493732,0.755388872913696
46,Exp1,d11032021,ZGrrY,rating,46.0,50.0,Gorke1.jpg,3.006,37.0,0.16162010249121206,-0.28219001600001764
47,Exp1,d11032021,ZGrrY,rating,47.0,52.0,Picaa1.jpg,4.406,69.0,2.6794406902623353,1.2270156406017478
48,Exp1,d11032021,ZGrrY,rating,48.0,34.0,Monb1n.jpg,2.469,35.0,-0.8041439372467116,-0.376515369537628
49,Exp1,d11032021,ZGrrY,rating,49.0,21.0,Lewb1n.jpg,2.846,38.0,-0.12613082182548724,-0.23502733923121247
50,Exp1,d11032021,ZGrrY,rating,50.0,24.0,Dekoa1.jpg,2.765,66.0,-0.2718047272608165,1.0855276102953322
51,Exp1,d11032021,ZGrrY,rating,51.0,27.0,Vinb1n.jpg,2.205,58.0,-1.278932962369266,0.7082261961448909
52,Exp1,d11032021,ZGrrY,rating,52.0,26.0,Clib1n.jpg,2.292,64.0,-1.122468397272061,0.9912022567577219
53,Exp1,d11032021,ZGrrY,rating,53.0,22.0,Macb1n.jpg,2.782,59.0,-0.2412311915521673,0.755388872913696
54,Exp1,d11032021,ZGrrY,rating,54.0,19.0,Macc1n.jpg,1.982,68.0,-1.6799858131356666,1.1798529638329427
55,Exp1,d11032021,ZGrrY,rating,55.0,45.0,Klia1n.jpg,3.136,42.0,0.3954177284985313,-0.0463766321559918
56,Exp1,d11032021,ZGrrY,rating,56.0,41.0,Vincb1.jpg,2.657,66.0,-0.46603660117458906,1.0855276102953322
57,Exp1,d11032021,ZGrrY,rating,57.0,10.0,Stera1.jpg,2.242,62.0,-1.2123905611210293,0.8968769032201116
58,Exp1,d11032021,ZGrrY,rating,58.0,9.0,Lassc1.jpg,3.072,4.0,0.28031735877185127,-1.8385583493705882
59,Exp1,d11032021,ZGrrY,rating,59.0,28.0,Krasa1.jpg,3.219,71.0,0.5446885204878189,1.3213409941393581
60,Exp1,d11042021,l6WpQ,rating,0.0,41.0,Vincb1.jpg,8.779,21.0,1.957682820715179,-1.8784858499467318
61,Exp1,d11042021,l6WpQ,rating,1.0,42.0,Picc1n.jpg,6.677,78.0,0.9251258515677352,0.13417756071048076
62,Exp1,d11042021,l6WpQ,rating,2.0,46.0,Deka1n.jpg,5.806,85.0,0.4972680398991228,0.38134675149294545
63,Exp1,d11042021,l6WpQ,rating,3.0,14.0,Kupkb1.jpg,4.301,76.0,-0.2420270307797082,0.06355779191549082
64,Exp1,d11042021,l6WpQ,rating,4.0,4.0,Mackb1.jpg,5.821,100.0,0.5046364293078818,0.9109950174553698
65,Exp1,d11042021,l6WpQ,rating,5.0,9.0,Lassc1.jpg,7.661,80.0,1.408492196782333,0.20479732950547067
66,Exp1,d11042021,l6WpQ,rating,6.0,25.0,Clifa1.jpg,5.758,33.0,0.47368919379109364,-1.4547672371767923
67,Exp1,d11042021,l6WpQ,rating,7.0,5.0,Kupb1n.jpg,6.526,20.0,0.8509507315195602,-1.913795734344227
68,Exp1,d11042021,l6WpQ,rating,8.0,2.0,Dekob1.jpg,5.397,29.0,0.2963566220202911,-1.5960067747667723
69,Exp1,d11042021,l6WpQ,rating,9.0,36.0,Gorkf1.jpg,3.967,80.0,-0.40609650161474453,0.20479732950547067
70,Exp1,d11042021,l6WpQ,rating,10.0,15.0,Clia1n.jpg,4.374,15.0,-0.20616753565708076,-2.090345156331702
71,Exp1,d11042021,l6WpQ,rating,11.0,55.0,Lewic1.jpg,4.039,85.0,-0.3707282324527009,0.38134675149294545
72,Exp1,d11042021,l6WpQ,rating,12.0,29.0,Clifb1.jpg,6.405,38.0,0.7915123902889035,-1.2782178151893175
73,Exp1,d11042021,l6WpQ,rating,13.0,28.0,Krasa1.jpg,5.694,89.0,0.4422507323137214,0.5225862890829253
74,Exp1,d11042021,l6WpQ,rating,14.0,57.0,Lewc1n.jpg,5.023,83.0,0.11263811276189692,0.31072698269795557
75,Exp1,d11042021,l6WpQ,rating,15.0,24.0,Dekoa1.jpg,6.998,74.0,1.0828093849151805,-0.007061976879499093
76,Exp1,d11042021,l6WpQ,rating,16.0,40.0,Krab1n.jpg,4.43,95.0,-0.17865888186438003,0.734445595467895
77,Exp1,d11042021,l6WpQ,rating,17.0,37.0,Mondb1.jpg,3.982,26.0,-0.3987281122059853,-1.7019364279592573
78,Exp1,d11042021,l6WpQ,rating,18.0,20.0,Gorc1n.jpg,4.886,87.0,0.045340156161897224,0.4519665202879354
79,Exp1,d11042021,l6WpQ,rating,19.0,56.0,Luisc1.jpg,12.006,83.0,3.542868995519557,0.31072698269795557
80,Exp1,d11042021,l6WpQ,rating,20.0,1.0,Lewia1.jpg,9.414,94.0,2.2696113056859817,0.6991357110704001
81,Exp1,d11042021,l6WpQ,rating,21.0,38.0,Lasc1n.jpg,5.551,94.0,0.37200541995021796,0.6991357110704001
82,Exp1,d11042021,l6WpQ,rating,22.0,23.0,Lewib1.jpg,7.038,88.0,1.1024584233385382,0.4872764046854303
83,Exp1,d11042021,l6WpQ,rating,23.0,34.0,Monb1n.jpg,8.565,74.0,1.8525604651502157,-0.007061976879499093
84,Exp1,d11042021,l6WpQ,rating,24.0,32.0,Macka1.jpg,5.27,89.0,0.2339709250261303,0.5225862890829253
85,Exp1,d11042021,l6WpQ,rating,25.0,44.0,Lassf1.jpg,4.605,19.0,-0.09269433876219002,-1.949105618741722
86,Exp1,d11042021,l6WpQ,rating,26.0,0.0,Gorkc1.jpg,3.406,95.0,-0.6816742655023353,0.734445595467895
