,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
42,Pilot,d10012021,arjeO,rating,42.0,28.0,Krasa1.jpg,5.4,78.0,-0.1410731345673955,1.3290323306019045
43,Pilot,d10012021,arjeO,rating,43.0,17.0,Picab1.jpg,5.095,81.0,-0.4350089608890817,1.4598998467443238
44,Pilot,d10012021,arjeO,rating,44.0,1.0,Lewia1.jpg,5.701,73.0,0.1490077956713821,1.110919803697872
45,Pilot,d10012021,arjeO,rating,45.0,4.0,Mackb1.jpg,7.356,46.0,1.7439710499742995,-0.0668878415839032
46,Pilot,d10012021,arjeO,rating,46.0,12.0,Kupkc1.jpg,5.854,65.0,0.2964575708425888,0.7619397606514201
47,Pilot,d10012021,arjeO,rating,47.0,0.0,Gorkc1.jpg,4.816,6.0,-0.7038879626718696,-1.8117880568161628
48,Pilot,d10012021,arjeO,rating,48.0,24.0,Dekoa1.jpg,5.119,71.0,-0.4118795843916376,1.023674792936259
49,Pilot,d10012021,arjeO,rating,49.0,38.0,Lasc1n.jpg,4.638,10.0,-0.8754308383612468,-1.6372980352929367
50,Pilot,d10012021,arjeO,rating,50.0,41.0,Vincb1.jpg,5.878,46.0,0.319586947340033,-0.0668878415839032
51,Pilot,d10012021,arjeO,rating,51.0,20.0,Gorc1n.jpg,5.669,6.0,0.1181686270081232,-1.8117880568161628
52,Pilot,d10012021,arjeO,rating,52.0,6.0,Wdekc1.jpg,5.629,0.0,0.0796196661790497,-2.073523089101001
53,Pilot,d10012021,arjeO,rating,53.0,27.0,Vinb1n.jpg,5.789,69.0,0.233815509495344,0.936429782174646
54,Pilot,d10012021,arjeO,rating,54.0,13.0,Picak1.jpg,7.533,39.0,1.9145502016429508,-0.3722453792495486
55,Pilot,d10012021,arjeO,rating,55.0,8.0,Klina1.jpg,5.163,57.0,-0.3694757274796563,0.4129597176049682
56,Pilot,d10012021,arjeO,rating,56.0,7.0,Pica1n.jpg,4.056,67.0,-1.4363182184242664,0.8491847714130331
57,Pilot,d10012021,arjeO,rating,57.0,26.0,Clib1n.jpg,5.151,69.0,-0.3810404157283787,0.936429782174646
58,Pilot,d10012021,arjeO,rating,58.0,44.0,Lassf1.jpg,6.286,64.0,0.7127863477965826,0.7183172552706136
59,Pilot,d10012021,arjeO,rating,59.0,37.0,Mondb1.jpg,6.91,63.0,1.3141501367301305,0.6746947498898072
60,Pilot,d10012021,A26v1,rating,0.0,34.0,Monb1n.jpg,4.617,82.0,0.6549240388106656,0.8401097387289401
61,Pilot,d10012021,A26v1,rating,1.0,35.0,Wdeka1.jpg,4.078,88.0,0.2957968635535839,1.095332950494694
62,Pilot,d10012021,A26v1,rating,2.0,13.0,Picak1.jpg,3.373,89.0,-0.1739334862724695,1.137870152455653
63,Pilot,d10012021,A26v1,rating,3.0,14.0,Kupkb1.jpg,3.299,83.0,-0.2232385158996016,0.8826469406898991
64,Pilot,d10012021,A26v1,rating,4.0,47.0,Kupkd1.jpg,4.341,80.0,0.471029603985147,0.7550353348070221
65,Pilot,d10012021,A26v1,rating,5.0,41.0,Vincb1.jpg,4.022,66.0,0.2584849492411598,0.1595145073535962
66,Pilot,d10012021,A26v1,rating,6.0,43.0,Picac1.jpg,4.686,36.0,0.7008976475170453,-1.1166015514751737
67,Pilot,d10012021,A26v1,rating,7.0,52.0,Picaa1.jpg,3.614,61.0,-0.013358997892216,-0.0531715024511987
68,Pilot,d10012021,A26v1,rating,8.0,49.0,Hinda1.jpg,3.126,80.0,-0.3385056797576261,0.7550353348070221
69,Pilot,d10012021,A26v1,rating,9.0,53.0,Gorka1.jpg,3.566,28.0,-0.0453406387314367,-1.4568991671628455
70,Pilot,d10012021,A26v1,rating,10.0,25.0,Clifa1.jpg,3.214,79.0,-0.2798726715523881,0.7124981328460631
71,Pilot,d10012021,A26v1,rating,11.0,6.0,Wdekc1.jpg,3.686,38.0,0.0346134633666149,-1.0315271475532557
72,Pilot,d10012021,A26v1,rating,12.0,24.0,Dekoa1.jpg,4.83,88.0,0.7968425700347074,1.095332950494694
73,Pilot,d10012021,A26v1,rating,13.0,21.0,Lewb1n.jpg,3.55,91.0,-0.0560011856778436,1.222944556377571
