,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
35,Pilot,d10012021,arjeO,reward_learning,2.0,35.0,4.0,1.0,153.0,337.0,-1.280078258346676,1.0,741.0,0.505618174240487,1
36,Pilot,d10012021,arjeO,reward_learning,2.0,36.0,41.0,-1.0,0.0,479.0,-0.2938109878000257,-1.0,621.0,-0.4914493203697108,1
37,Pilot,d10012021,arjeO,reward_learning,2.0,37.0,49.0,-1.0,0.0,451.0,-0.4882862242458441,-1.0,645.0,-0.2920358214476712,1
38,Pilot,d10012021,arjeO,reward_learning,2.0,38.0,19.0,-1.0,0.0,398.0,-0.8564000646611433,-1.0,679.0,-0.0095333646414485,1
39,Pilot,d10012021,arjeO,reward_learning,2.0,39.0,48.0,-1.0,0.0,463.0,-0.4049396943404934,-1.0,895.0,1.7851881256569078,1
40,Pilot,d10012021,arjeO,reward_learning,2.0,40.0,7.0,1.0,143.0,488.0,-0.2313010903710126,1.0,663.0,-0.1424756972561415,1
41,Pilot,d10012021,arjeO,reward_learning,2.0,41.0,40.0,1.0,152.0,445.0,-0.5299594891985195,1.0,629.0,-0.4249781540623643,1
42,Pilot,d10012021,arjeO,reward_learning,2.0,42.0,19.0,-1.0,0.0,407.0,-0.7938901672321301,-1.0,676.0,-0.0344600520067034,1
43,Pilot,d10012021,arjeO,reward_learning,2.0,43.0,49.0,-1.0,0.0,558.0,0.2548870007435332,-1.0,710.0,0.2480424047995192,1
44,Pilot,d10012021,arjeO,reward_learning,2.0,44.0,47.0,1.0,144.0,674.0,1.0605701231619238,1.0,808.0,1.0623141920645145,1
45,Pilot,d10012021,arjeO,reward_learning,2.0,45.0,41.0,-1.0,0.0,398.0,-0.8564000646611433,-1.0,621.0,-0.4914493203697108,1
46,Pilot,d10012021,arjeO,reward_learning,2.0,46.0,12.0,-1.0,0.0,609.0,0.6091097528412739,-1.0,612.0,-0.5662293824654756,1
47,Pilot,d10012021,arjeO,reward_learning,2.0,47.0,25.0,1.0,142.0,418.0,-0.7174891814855586,1.0,675.0,-0.0427689477951217,1
48,Pilot,d10012021,arjeO,reward_learning,2.0,48.0,5.0,1.0,151.0,502.0,-0.1340634721481035,1.0,705.0,0.2064979258574276,1
49,Pilot,d10012021,arjeO,reward_learning,2.0,49.0,5.0,1.0,151.0,465.0,-0.3910486060229349,1.0,647.0,-0.2754180298708346,1
50,Pilot,d10012021,arjeO,reward_learning,2.0,50.0,56.0,1.0,149.0,494.0,-0.1896278254183373,1.0,691.0,0.0901733848195712,1
51,Pilot,d10012021,arjeO,reward_learning,2.0,51.0,40.0,1.0,152.0,407.0,-0.7938901672321301,1.0,612.0,-0.5662293824654756,1
52,Pilot,d10012021,arjeO,reward_learning,2.0,52.0,47.0,1.0,144.0,470.0,-0.3563208852290388,1.0,578.0,-0.8487318392716984,1
53,Pilot,d10012021,arjeO,reward_learning,2.0,53.0,56.0,1.0,149.0,405.0,-0.8077812555496886,1.0,608.0,-0.599464965619149,1
54,Pilot,d10012021,arjeO,reward_learning,2.0,54.0,36.0,1.0,150.0,580.0,0.4076889722366763,1.0,601.0,-0.6576272361380772,1
55,Pilot,d10012021,arjeO,reward_learning,2.0,55.0,7.0,1.0,143.0,401.0,-0.8355634321848056,1.0,576.0,-0.865349630848535,1
56,Pilot,d10012021,arjeO,reward_learning,2.0,56.0,48.0,-1.0,0.0,436.0,-0.5924693866275326,-1.0,688.0,0.0652466974543163,1
57,Pilot,d10012021,arjeO,reward_learning,2.0,57.0,8.0,-1.0,0.0,582.0,0.4215800605542347,-1.0,765.0,0.7050316731625266,1
58,Pilot,d10012021,arjeO,reward_learning,2.0,58.0,32.0,-1.0,0.0,743.0,1.5398126701176906,-1.0,620.0,-0.4997582161581291,1
59,Pilot,d10012021,arjeO,reward_learning,2.0,59.0,8.0,-1.0,0.0,585.0,0.4424166930305724,-1.0,562.0,-0.9816741718863914,1
60,Pilot,d10012021,arjeO,reward_learning,2.0,60.0,12.0,-1.0,0.0,393.0,-0.8911277854550393,-1.0,701.0,0.1732623427037544,1
61,Pilot,d10012021,arjeO,reward_learning,2.0,61.0,39.0,-1.0,0.0,546.0,0.1715404708381825,-1.0,583.0,-0.8071873603296068,1
62,Pilot,d10012021,arjeO,reward_learning,2.0,62.0,32.0,-1.0,0.0,745.0,1.5537037584352489,-1.0,640.0,-0.3335803003897628,1
63,Pilot,d10012021,arjeO,reward_learning,2.0,63.0,4.0,1.0,153.0,412.0,-0.759162446438234,1.0,697.0,0.1400267595500811,1
64,Pilot,d10012021,arjeO,reward_learning,3.0,64.0,8.0,-1.0,0.0,653.0,0.91471369582756,-1.0,603.0,-0.6410094445612405,1
65,Pilot,d10012021,arjeO,reward_learning,3.0,65.0,8.0,-1.0,0.0,500.0,-0.1479545604656619,-1.0,539.0,-1.1727787750200127,1
66,Pilot,d10012021,arjeO,reward_learning,3.0,66.0,48.0,-1.0,0.0,565.0,0.3035058098549879,-1.0,753.0,0.6053249237015068,1
67,Pilot,d10012021,arjeO,reward_learning,3.0,67.0,4.0,1.0,153.0,467.0,-0.3771575177053765,1.0,671.0,-0.076004530948795,1
68,Pilot,d10012021,arjeO,reward_learning,3.0,68.0,36.0,1.0,150.0,563.0,0.2896147215374294,1.0,636.0,-0.3668158835434361,1
69,Pilot,d10012021,arjeO,reward_learning,3.0,69.0,40.0,1.0,152.0,465.0,-0.3910486060229349,-1.0,728.0,0.397602528991049,0
70,Pilot,d10012021,arjeO,reward_learning,3.0,70.0,47.0,1.0,144.0,752.0,1.6023225675467037,1.0,484.0,-1.62976804338302,1
71,Pilot,d10012021,arjeO,reward_learning,3.0,71.0,47.0,1.0,144.0,494.0,-0.1896278254183373,1.0,475.0,-1.704548105478785,1
72,Pilot,d10012021,arjeO,reward_learning,3.0,72.0,12.0,-1.0,0.0,652.0,0.9077681516687808,-1.0,622.0,-0.4831404245812925,1
73,Pilot,d10012021,arjeO,reward_learning,3.0,73.0,56.0,1.0,149.0,421.0,-0.696652549009221,1.0,555.0,-1.0398364424053197,1
74,Pilot,d10012021,arjeO,reward_learning,3.0,74.0,25.0,1.0,142.0,515.0,-0.0437713980839735,1.0,616.0,-0.5329937993118024,1
75,Pilot,d10012021,arjeO,reward_learning,3.0,75.0,36.0,1.0,150.0,351.0,-1.182840640123767,1.0,575.0,-0.8736585266369533,1
76,Pilot,d10012021,arjeO,reward_learning,3.0,76.0,7.0,1.0,143.0,510.0,-0.0784991188778696,1.0,537.0,-1.1893965665968491,1
77,Pilot,d10012021,arjeO,reward_learning,3.0,77.0,41.0,-1.0,0.0,636.0,0.7966394451283131,-1.0,646.0,-0.2837269256592529,1
78,Pilot,d10012021,arjeO,reward_learning,3.0,78.0,49.0,-1.0,0.0,486.0,-0.2451921786885711,-1.0,710.0,0.2480424047995192,1
79,Pilot,d10012021,arjeO,reward_learning,3.0,79.0,56.0,1.0,149.0,417.0,-0.7244347256443379,1.0,599.0,-0.6742450277149138,1
80,Pilot,d10012021,arjeO,reward_learning,3.0,80.0,25.0,1.0,142.0,372.0,-1.0369842127894031,1.0,562.0,-0.9816741718863914,1
81,Pilot,d10012021,arjeO,reward_learning,3.0,81.0,39.0,-1.0,0.0,400.0,-0.8425089763435848,-1.0,664.0,-0.1341668014677232,1
82,Pilot,d10012021,arjeO,reward_learning,3.0,82.0,12.0,-1.0,0.0,814.0,2.0329463053910155,-1.0,609.0,-0.5911560698307307,1
83,Pilot,d10012021,arjeO,reward_learning,3.0,83.0,7.0,1.0,143.0,522.0,0.004847411027481,1.0,703.0,0.189880134280591,1
84,Pilot,d10012021,arjeO,reward_learning,3.0,84.0,48.0,-1.0,0.0,438.0,-0.5785782983099741,-1.0,533.0,-1.2226321497505226,1
85,Pilot,d10012021,arjeO,reward_learning,3.0,85.0,5.0,1.0,151.0,388.0,-0.9258555062489356,1.0,587.0,-0.7739517771759336,1
86,Pilot,d10012021,arjeO,reward_learning,3.0,86.0,49.0,-1.0,0.0,566.0,0.3104513540137671,-1.0,657.0,-0.1923290719866514,1
87,Pilot,d10012021,arjeO,reward_learning,3.0,87.0,5.0,1.0,151.0,374.0,-1.0230931244718446,1.0,618.0,-0.5163760077349657,1
88,Pilot,d10012021,arjeO,reward_learning,3.0,88.0,4.0,1.0,153.0,563.0,0.2896147215374294,1.0,567.0,-0.9401296929442998,1
89,Pilot,d10012021,arjeO,reward_learning,3.0,89.0,41.0,-1.0,0.0,412.0,-0.759162446438234,-1.0,676.0,-0.0344600520067034,1
90,Pilot,d10012021,arjeO,reward_learning,3.0,90.0,19.0,-1.0,0.0,461.0,-0.4188307826580518,-1.0,963.0,2.350193039269353,1
91,Pilot,d10012021,arjeO,reward_learning,3.0,91.0,40.0,1.0,152.0,370.0,-1.0508753011069616,1.0,611.0,-0.5745382782538939,1
92,Pilot,d10012021,arjeO,reward_learning,3.0,92.0,32.0,-1.0,0.0,454.0,-0.4674495917695064,-1.0,666.0,-0.1175490098908866,1
93,Pilot,d10012021,arjeO,reward_learning,3.0,93.0,32.0,-1.0,0.0,500.0,-0.1479545604656619,-1.0,688.0,0.0652466974543163,1
94,Pilot,d10012021,arjeO,reward_learning,3.0,94.0,39.0,-1.0,0.0,362.0,-1.1064396543771955,-1.0,687.0,0.056937801665898,1
95,Pilot,d10012021,arjeO,reward_learning,3.0,95.0,19.0,-1.0,0.0,329.0,-1.33564261161691,-1.0,667.0,-0.1092401141024683,1
96,Pilot,d10012021,A26v1,reward_learning,1.0,0.0,40.0,1.0,145.0,909.0,2.2766641909451426,,,,0
97,Pilot,d10012021,A26v1,reward_learning,1.0,1.0,12.0,-1.0,0.0,665.0,0.6816714585180745,-1.0,884.0,0.8563234767845455,1
98,Pilot,d10012021,A26v1,reward_learning,1.0,2.0,2.0,1.0,156.0,628.0,0.4398078064697077,1.0,581.0,-0.3643000390737856,1
99,Pilot,d10012021,A26v1,reward_learning,1.0,3.0,40.0,1.0,145.0,609.0,0.3156075527151409,1.0,1026.0,1.4283648604541264,1
100,Pilot,d10012021,A26v1,reward_learning,1.0,4.0,15.0,1.0,155.0,720.0,1.0411985088602416,1.0,660.0,-0.0460516636519765,1
101,Pilot,d10012021,A26v1,reward_learning,1.0,5.0,4.0,1.0,150.0,598.0,0.2437021426467075,1.0,743.0,0.2883105535633419,1
102,Pilot,d10012021,A26v1,reward_learning,1.0,6.0,2.0,1.0,156.0,487.0,-0.4818888134983931,1.0,520.0,-0.6100361264248028,1
103,Pilot,d10012021,A26v1,reward_learning,1.0,7.0,6.0,1.0,151.0,427.0,-0.8741001411443935,1.0,642.0,-0.1185639517227684,1
104,Pilot,d10012021,A26v1,reward_learning,1.0,8.0,52.0,-1.0,0.0,860.0,1.956358273367576,-1.0,903.0,0.9328642253037148,1
105,Pilot,d10012021,A26v1,reward_learning,1.0,9.0,25.0,1.0,141.0,618.0,0.3744392518620409,-1.0,953.0,1.1342872477225812,0
106,Pilot,d10012021,A26v1,reward_learning,1.0,10.0,50.0,-1.0,0.0,781.0,1.4399466919670083,1.0,1064.0,1.5814463574924649,0
107,Pilot,d10012021,A26v1,reward_learning,1.0,11.0,48.0,-1.0,0.0,669.0,0.7078188803611413,-1.0,801.0,0.521961259569227,1
108,Pilot,d10012021,A26v1,reward_learning,1.0,12.0,25.0,1.0,141.0,689.0,0.8385559895764747,1.0,1577.0,3.6480465675100353,1
109,Pilot,d10012021,A26v1,reward_learning,1.0,13.0,3.0,1.0,148.0,577.0,0.1064281779706073,1.0,622.0,-0.1991331606903151,1
110,Pilot,d10012021,A26v1,reward_learning,1.0,14.0,3.0,1.0,148.0,704.0,0.9366088214879748,1.0,661.0,-0.0420232032035991,1
111,Pilot,d10012021,A26v1,reward_learning,1.0,15.0,32.0,-1.0,0.0,567.0,0.0410596233629406,-1.0,984.0,1.2591695216222785,1
112,Pilot,d10012021,A26v1,reward_learning,1.0,16.0,48.0,-1.0,0.0,900.0,2.2178324917982426,-1.0,1105.0,1.7466132358759354,1
113,Pilot,d10012021,A26v1,reward_learning,1.0,17.0,7.0,-1.0,0.0,539.0,-0.1419723295385261,-1.0,743.0,0.2883105535633419,1
114,Pilot,d10012021,A26v1,reward_learning,1.0,18.0,27.0,1.0,153.0,739.0,1.1653987626148083,1.0,883.0,0.8522950163361681,1
115,Pilot,d10012021,A26v1,reward_learning,1.0,19.0,29.0,-1.0,0.0,427.0,-0.8741001411443935,-1.0,681.0,0.0385460057639474,1
116,Pilot,d10012021,A26v1,reward_learning,1.0,20.0,52.0,-1.0,0.0,576.0,0.0998913225098407,-1.0,772.0,0.4051359065662844,1
117,Pilot,d10012021,A26v1,reward_learning,1.0,21.0,27.0,1.0,153.0,788.0,1.4857046801923752,1.0,784.0,0.4534774319468124,1
118,Pilot,d10012021,A26v1,reward_learning,1.0,22.0,4.0,1.0,150.0,641.0,0.5247869274596744,1.0,492.0,-0.722833018979368,1
119,Pilot,d10012021,A26v1,reward_learning,1.0,23.0,43.0,-1.0,0.0,688.0,0.832019134115708,-1.0,691.0,0.0788306102477207,1
120,Pilot,d10012021,A26v1,reward_learning,1.0,24.0,7.0,-1.0,0.0,477.0,-0.5472573681060598,-1.0,580.0,-0.3683284995221629,1
121,Pilot,d10012021,A26v1,reward_learning,1.0,25.0,29.0,-1.0,0.0,427.0,-0.8741001411443935,-1.0,691.0,0.0788306102477207,1
122,Pilot,d10012021,A26v1,reward_learning,1.0,26.0,15.0,1.0,155.0,638.0,0.5051763610773744,1.0,1186.0,2.072918532194499,1
123,Pilot,d10012021,A26v1,reward_learning,1.0,27.0,50.0,-1.0,0.0,660.0,0.6489871812142411,-1.0,663.0,-0.0339662823068445,1
