,Exp,group,PID,phase,condition,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,explain_response,novel_left,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,Exp1,d11032021,ZGrrY,interference,0.0,1.0,0.0,15.0,3.0,Clia1n.jpg,Fogeg1.jpg,34.0,65.0,0.0,,,0.0,3.0,15.0,1.421,0.4052918764888905,-31.0,-0.4236780463064331,1.038364933526527,-1.4620429798329602
1,Exp1,d11032021,ZGrrY,interference,1.0,1.0,1.0,18.0,55.0,Krasb1.jpg,Lewic1.jpg,64.0,59.0,1.0,,0.0,1.0,18.0,55.0,1.743,0.9171976739075623,5.0,0.991202256757722,0.755388872913696,0.2358133838440258
2,Exp1,d11032021,ZGrrY,interference,0.0,1.0,2.0,57.0,33.0,Lewc1n.jpg,Kupc1n.jpg,59.0,57.0,0.0,,,1.0,57.0,33.0,1.867,1.1143290990004668,2.0,0.755388872913696,0.6610635193760858,0.0943253535376102
3,Exp1,d11032021,ZGrrY,interference,1.0,1.0,3.0,27.0,37.0,Vinb1n.jpg,Mondb1.jpg,58.0,58.0,1.0,,0.0,0.0,37.0,27.0,2.935,2.812202986090968,0.0,0.7082261961448909,0.7082261961448909,0.0
4,Exp1,d11032021,ZGrrY,interference,1.0,1.0,4.0,4.0,1.0,Mackb1.jpg,Lewia1.jpg,41.0,65.0,1.0,,1.0,0.0,1.0,4.0,1.714,0.8710943567487377,-24.0,-0.0935393089247969,1.038364933526527,-1.131904242451324
5,Exp1,d11032021,ZGrrY,interference,1.0,1.0,5.0,17.0,40.0,Picab1.jpg,Krab1n.jpg,65.0,38.0,1.0,,0.0,1.0,17.0,40.0,1.4,0.3719067157876726,27.0,1.038364933526527,-0.2350273392312124,1.2733922727577396
6,Exp1,d11032021,ZGrrY,interference,1.0,1.0,6.0,26.0,48.0,Clib1n.jpg,Picb1n.jpg,64.0,66.0,1.0,,1.0,0.0,48.0,26.0,1.469,0.4816008152345311,-2.0,0.991202256757722,1.0855276102953322,-0.0943253535376102
7,Exp1,d11032021,ZGrrY,interference,0.0,1.0,7.0,23.0,47.0,Lewib1.jpg,Kupkd1.jpg,35.0,31.0,0.0,,,1.0,23.0,47.0,1.076,-0.1431786207454005,4.0,-0.376515369537628,-0.5651660766128487,0.1886507070752207
8,Exp1,d11032021,ZGrrY,interference,0.0,1.0,8.0,35.0,21.0,Wdeka1.jpg,Lewb1n.jpg,65.0,38.0,0.0,,,1.0,35.0,21.0,1.354,0.2987773161564341,27.0,1.038364933526527,-0.2350273392312124,1.2733922727577396
9,Exp1,d11032021,ZGrrY,interference,1.0,1.0,9.0,59.0,31.0,Kraa1n.jpg,Maca1n.jpg,38.0,39.0,1.0,,1.0,0.0,31.0,59.0,2.053,1.4100262366398235,-1.0,-0.2350273392312124,-0.1878646624624073,-0.0471626767688051
10,Exp1,d11032021,ZGrrY,interference,1.0,1.0,10.0,34.0,32.0,Monb1n.jpg,Macka1.jpg,35.0,40.0,1.0,,1.0,0.0,32.0,34.0,1.186,0.031696030546692,-5.0,-0.376515369537628,-0.1407019856936021,-0.2358133838440258
11,Exp1,d11032021,ZGrrY,interference,1.0,1.0,11.0,58.0,49.0,Mackc1.jpg,Hinda1.jpg,28.0,45.0,1.0,,0.0,1.0,58.0,49.0,1.6,0.6898606272278417,-17.0,-0.7066541069192641,0.0951113981504237,-0.8017655050696878
12,Exp1,d11032021,ZGrrY,interference,0.0,1.0,12.0,39.0,45.0,Dekb1n.jpg,Klia1n.jpg,36.0,42.0,0.0,,,1.0,39.0,45.0,3.424,3.5896002995621807,-6.0,-0.3293526927688228,-0.0463766321559918,-0.282976060612831
